question,answer
س1: ما هي خدمة نشر الكتاب المقدمة في الوثيقة؟,جواب: خدمة نشر الكتاب تهدف إلى تمكين المستفيدين من نشر الكتب التي ترتبط بمجالات النشر في مجمع الملك عبد العزيز للمكتبات الوقفية، بما يتوافق مع احتياجات ومتطلبات العمل الخاصة بالمجمع. تهدف عملية نشر الكتب إلى دعم المؤلفين والباحثين، وتعزيز الثقافة والمعرفة من خلال نشر الأعمال الأدبية والعلمية.
س2: من هم المستفيدون من خدمة نشر الكتاب؟,جواب: المستفيدون من الخدمة هم المؤلفون، الباحثون، والجهات التي ترغب في نشر أعمالهم الأدبية أو العلمية. يقوم المستخدم بتقديم معلومات مثل الاسم الكامل، البريد الإلكتروني، رقم الهاتف، عنوان الكتاب، ملخص الكتاب، ونوع المنشور (مثل كتاب علمي، رسالة ماجس تير، إلخ)
س3: كيف يمكن للمستخدم متابعة حالة طلب نشر الكتاب بعد تقديمه؟,"جواب: يمكن للمستخدم متابعة حالة الطلب من خلال جدول الطلبات الخاص به، حيث يظهر فيه حالة الطلب (مثل ""جديد""، ""تحت الإجراء""، ""تم التعديل""، إلخ) ."
س4: ما هي أنواع الكتب التي يمكن للمستخدم نشرها من خلال الخدمة؟,جواب: يمكن للمستخدم نشر أنواع مختلفة من الكتب مثل الكتب العلمية، رسائل الماجستير، رسائل الدكتوراة، المدونات، والأبحاث العلمية. خدمات الرقمنة:
س1: ما هي خدمة الرقمنة؟,جواب: خدمة الرقمنة تهدف إلى تحويل المحتويات الورقية والمادية إلى صيغة رقمية بدقة وجودة عالية، مما يسهل الوصول إليها وحفظها.
س2: من هم المستفيدون من خدمة الرقمنة؟,جواب: المستفيدون من خدمة الرقمنة هم الأفراد والجهات الحكومية والخاصة، المكتبات، المتاحف، والمؤسسات التعليمية الذين لديهم مخطوطات أو مقتنيات يريدون الحفاظ عليها عن طريق تحويلها إلى صيغة رقمية ليسهل الوصول إليها والحفاظ عليها .
س3: كيف يمكن للمستخدم تقديم طلب للحصول على خدمة الرقمنة؟,جواب: يمكن للمستخدم تقديم طلب من خلال تعبئة النموذج الخاص بخدمات الرقمنة على المنصة، وتقديم المعلومات المطلوبة عن المحتويات المراد رقمنتها. يجب على المستخدم تقديم معلومات مثل نوع المحتوى (وثائق، مخطوطات، كتب نادرة)، عدد الصفحات، وحالة المحتوى .
س4: ما هي الخطوات التي يتبعها الموظف بعد استلام طلب الرقمنة؟,جواب: بعد استلام الطلب، يقوم موظف الاستقبال بمراجعة الطلب، تحديد موعد المعاينة، ثم يقوم موظف المعاينة بمراجعة المحتوى وتحديد التكلفة.
س5: كيف يمكن للمستخدم متابعة حالة الطلبات المقدمة؟,جواب: يمكن للمستخدم متابعة حالة الطلبات من خلال جدول الطلبات الذي يظهر فيه مجموعة من الحقول مثل رقم الطلب، التاريخ، مقدم الطلب، حالة الطلب، وزر لمطالعة الطلب. طلب صورة مخطوط / كتاب نادر:
س1: ما هي خدمة شراء المخطوطة المقدمة في الوثيقة؟,جواب: خدمة شراء المخطوطة تتيح للباحثين والمهتمين الحصول على نسخة إلكترونية من المخطوطات أو الكتب النادرة أو أحد الإصدارات العلمية للمجمع وفق الضوابط المعمول بها ، كما تهدف هذه الخدمة إلى الوصول إلى المخطوطات النادرة، دعم الباحثين في دراساتهم، والحفاظ على التراث الثقافي.
س2: من هم المستفيدون من خدمة شراء المخطوطة؟,جواب: المستفيدون من الخدمة هم الباحثون، الطلاب، الأكاديميون، والمهتمون بالتراث الثقافي والمخطوطات
س3: كيف يمكن للمستخدم تقديم طلب لشراء مخطوطة؟,جواب: يمكن للمستخدم تقديم طلب من خلال تعبئة النموذج الخاص بخدمة شراء المخطوطة على المنصة، وتقديم المعلومات المطلوبة حول المخطوطة المراد شراؤها ، كما يجب على المستخدم تقديم معلومات مثل الاسم الكامل، البريد الإلكتروني، رقم الهاتف، عنوان المخطوطة، والغرض من الشراء.
س4: كيف يمكن للمستخدم متابعة حالة طلب شراء المخطوطة بعد تقديمه؟,جواب: يمكن للمستخدم متابعة حالة الطلبات من خلال جدول الطلبات الذي يظهر فيه مجموعة من الحقول مثل رقم الطلب، التاريخ، مقدم الطلب، حالة الطلب، وزر لمطالعة الطلب.  زيارة المجمع:
س1: ما هي خدمة زيارة المجمع؟,جواب: خدمة زيارة المجمع تتيح للمستفيدين تحديد موعد لزيارة مجمع الملك عبد العزيز للمكتبات الوقفية، حيث يمكنهم الاطلاع على المقتنيات والموارد المتاحة كما تهدف الخدمة إلى تعزيز الوعي الثقافي، توفير فرصة للباحثين والمهتمين للاطلاع على المقتنيات، وتسهيل الوصول إلى المعلومات والموارد
س2: من هم المستفيدون من خدمة زيارة المجمع؟,جواب: المستفيدون من الخدمة هم الطلاب، الباحثون، الأكاديميون، والمهتمون بالثقافة والتراث.
س3: كيف يمكن للمستخدم تقديم طلب لزيارة المجمع؟,جواب يمكن للمستخدم تقديم طلب من خلال تعبئة النموذج الخاص بخدمة زيارة المجمع على المنصة، وتحديد الموعد والمعلومات المطلوبة ، كما يجب على المستخدم تقديم معلومات مثل الاسم الكامل، البريد الإلكتروني، رقم الهاتف، تاريخ الزيارة، وسبب الزيارة 
س4: كيف يتم تقييم الطلبات المقدمة لزيارة المجمع؟,جواب: يتم تقييم الطلبات من قبل موظف المجمع الذي يقوم بمراجعة الطلب وتحديد ما إذا كان سيتم الموافقة عليه أو إعادته لمقدم الطلب لتعديل الملاحظات.
